UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2023/10/19T01:24:51z,8:3a:8d:cb:5:c4,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,59,58,44,676.28,0.00,26264,0,340,0.18,0.37,0.37,0.18,0.37,0.37,2,2,269.68,62.77,2.84,0.00,0.00,0.00,0.00,0.03,0.34,0.00,0.03,0.34,0,0,151.88,42.25,4.47,0.59,0.42,0.42,77.54
2023/10/19T01:26:51z,8:3a:8d:cb:5:c4,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,59,57,43,676.31,0.00,26264,0,460,0.14,0.40,0.40,0.14,0.40,0.40,2,2,243.11,59.28,3.14,0.18,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.02,0,0,110.34,31.47,3.12,0.08,0.08,0.00,76.27
2023/10/19T01:28:51z,8:3a:8d:cb:5:c4,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,59,57,44,676.37,0.00,26264,0,580,0.58,0.73,1.00,0.58,0.73,1.00,3,3,282.20,74.58,5.25,0.75,0.34,0.00,0.09,0.25,0.40,0.09,0.25,0.40,1,1,149.89,41.63,4.61,0.70,0.16,0.00,93.78
2023/10/19T01:30:51z,8:3a:8d:cb:5:c4,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,59,58,44,676.40,0.00,26264,0,700,0.40,0.60,0.95,0.40,0.60,0.95,3,3,264.62,65.41,7.62,0.95,0.45,0.38,0.18,0.21,0.39,0.18,0.21,0.39,1,1,163.29,48.59,4.54,0.48,0.27,0.00,85.10
2023/10/19T01:32:51z,8:3a:8d:cb:5:c4,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,59,58,44,676.45,0.00,26264,0,820,0.53,0.66,0.83,0.53,0.66,0.83,3,3,280.12,71.20,5.19,0.37,0.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,121.91,34.60,3.90,0.50,0.00,0.00,85.87
2023/10/19T01:34:51z,8:3a:8d:cb:5:c4,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,58,59,43,676.47,0.00,26264,0,940,0.30,0.55,0.95,0.30,0.55,0.95,2,2,257.14,65.18,5.70,0.84,0.62,0.39,0.00,0.08,0.08,0.00,0.08,0.08,0,0,147.95,37.83,3.63,0.58,0.00,0.00,78.98
2023/10/19T01:36:51z,8:3a:8d:cb:5:c4,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,58,58,43,676.50,0.00,26264,0,1060,0.02,0.16,0.29,0.02,0.16,0.29,1,1,229.60,50.67,4.21,0.38,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,114.72,29.41,5.33,0.41,0.00,0.00,75.01
2023/10/19T01:38:51z,8:3a:8d:cb:5:c4,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,59,57,44,676.51,0.00,26264,0,1180,0.10,0.53,0.78,0.10,0.53,0.78,2,2,243.46,57.25,4.19,0.86,0.25,0.00,0.00,0.09,0.09,0.00,0.09,0.09,0,0,129.86,36.36,3.16,0.00,0.00,0.00,72.89
2023/10/19T01:40:32z,8:3a:8d:cb:5:c4,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,59,57,44,676.56,nan,26352,0,100,0.11,0.67,0.67,0.11,0.67,0.67,3,3,245.60,59.73,4.11,0.22,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.05,0,0,146.79,39.83,2.31,0.83,0.00,0.00,nan
2023/10/19T01:42:32z,8:3a:8d:cb:5:c4,7.04,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,58,58,43,676.55,0.00,26264,0,220,0.08,0.95,1.17,0.08,0.95,1.17,4,4,259.42,65.36,8.47,0.93,0.44,0.22,0.00,0.02,0.18,0.00,0.02,0.18,0,0,154.89,42.30,3.40,0.44,0.25,0.00,79.81
